ID,Date,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,t
AS14.05,2014-03-20,7.2,1.0,0.0,,,,,,,,,,,,,,,,,32.0
AS14.05,2014-03-21,7.25,0.0,0.0,,,,,,,,,,,,,,,,,33.0
AS14.05,2014-03-22,3.75,-2.0,7.0360000000000005,,,,,,,,,,,,,,,,,34.0
AS14.05,2014-03-23,4.4,-1.4,0.0,,,,,,,,,,,,,,,,,35.0
AS14.05,2014-03-24,3.75,-2.0,153.627,,,,,,,,,,,,,,,,,36.0
AS14.05,2014-03-25,5.333333333333333,-1.0,495.038,,,,,,,,,,,,,,,,,37.0
AS14.05,2014-03-26,5.5,-0.5,0.0,,,,,,,,,,,,,,,,,38.0
AS14.05,2014-03-27,5.8,-0.6,26.285,,,,,,,,,,,,,,,,,39.0
AS14.05,2014-03-28,6.2,0.0,17.070999999999998,,,,,,,,,,,,,,,,,40.0
AS14.05,2014-03-29,6.4,-0.4,47.14,,,,,,,,,,,,,,,,,41.0
AS14.05,2014-03-30,6.2,-0.8,95.89500000000001,,,,,,,,,,,,,,,,,42.0
AS14.05,2014-03-31,6.8,-0.4,66.52600000000001,,,,,,,,,,,,,,,,,43.0
AS14.05,2014-04-01,7.0,0.0,19.131,,,,,,,,,,,,,,,,,44.0
AS14.05,2014-04-02,7.0,-0.2,10.105999999999998,,,,,,,,,,,,,,,,,45.0
AS14.05,2014-04-03,7.2,-1.0,0.0,,,,,,,,,,,,,,,,,46.0
AS14.05,2014-04-04,7.0,-0.8,22.511000000000003,,,,,,,,,,,,,,,,,47.0
AS14.05,2014-04-05,7.5,0.0,0.0,,,,,,,,,,,,,,,,,48.0
AS14.05,2014-04-06,6.8,-0.4,72.99799999999999,,,,,,,,,,,,,,,,,49.0
AS14.05,2014-04-07,6.75,-0.25,32.202999999999996,,,,,,,,,,,,,,,,,50.0
AS14.05,2014-04-08,6.75,0.25,0.0,,,,,,,,,,,,,,,,,51.0
AS14.05,2014-04-09,7.0,0.25,4.016,,,,,,,,,,,,,,,,,52.0
AS14.05,2014-04-10,7.2,0.8,4.033,,,,,,,,,,,,,,,,,53.0
AS14.05,2014-04-11,7.0,0.2,5.04,,,,,,,,,,,,,,,,,54.0
AS14.05,2014-04-12,7.0,-1.4,38.441,,,,,,,,,,,,,,,,,55.0
AS14.05,2014-04-13,7.5,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,56.0
